product_category_name,unique_products,total_units_sold,total_revenue,average_product_price
agro_industria_e_comercio,74,212,72530.47,342.12485849056606
alimentos,82,510,29393.41,57.63413725490196
alimentos_bebidas,104,278,15179.48,54.602446043165465
artes,55,209,24202.64,115.8021052631579
artes_e_artesanato,19,24,1814.01,75.58375
artigos_de_festas,26,43,4485.18,104.30651162790699
artigos_de_natal,65,153,8800.82,57.52169934640523
audio,58,364,50688.5,139.25412087912088
automotivo,1900,4235,592720.11,139.9575230224321
bebes,919,3065,411764.89,134.34417292006526
bebidas,81,379,22428.7,59.178627968337736
beleza_saude,2444,9670,1258681.34,130.16353050672183
brinquedos,1411,4117,483946.6,117.54836045664318
cama_mesa_banho,3029,11115,1036988.68,93.29632748538012
casa_conforto,111,434,58572.04,134.95861751152074
casa_conforto_2,5,30,760.27,25.342333333333332
casa_construcao,225,604,83088.12,137.56311258278146
cds_dvds_musicais,1,14,730.0,52.142857142857146
cine_foto,28,72,6933.46,96.29805555555555
climatizacao,124,297,55024.96,185.26922558922558
consoles_games,317,1137,157465.22,138.49183817062445
construcao_ferramentas_construcao,400,929,144677.59,155.7347578040904
construcao_ferramentas_ferramentas,39,103,15903.95,154.40728155339806
construcao_ferramentas_iluminacao,78,304,41080.0,135.1315789473684
construcao_ferramentas_jardim,88,238,25715.89,108.04995798319328
construcao_ferramentas_seguranca,91,194,40544.52,208.9923711340206
cool_stuff,789,3796,635290.85,167.357968914647
dvds_blu_ray,48,64,5999.389999999999,93.74046874999999
eletrodomesticos,370,771,80171.53,103.98382619974059
eletrodomesticos_2,90,238,113317.74,476.1249579831933
eletronicos,517,2767,160246.74,57.913530899891576
eletroportateis,231,679,190648.58,280.7784683357879
esporte_lazer,2867,8641,988048.97,114.34428538363615
fashion_bolsas_e_acessorios,849,2031,152823.54,75.24546528803546
fashion_calcados,173,262,23562.77,89.93423664122137
fashion_esporte,19,30,2119.51,70.65033333333334
fashion_roupa_feminina,27,48,2803.64,58.409166666666664
fashion_roupa_infanto_juvenil,5,8,569.85,71.23125
fashion_roupa_masculina,95,132,10797.82,81.80166666666666
fashion_underwear_e_moda_praia,53,131,9541.55,72.83625954198473
ferramentas_jardim,753,4347,485256.46,111.63019553715206
flores,14,33,1110.04,33.63757575757575
fraldas_higiene,12,39,1567.59,40.19461538461538
industria_comercio_e_negocios,68,268,39669.61,148.0209328358209
informatica_acessorios,1639,7827,911954.32,116.51390315574294
instrumentos_musicais,289,680,191498.88,281.616
la_cuisine,10,14,2054.99,146.785
livros_importados,31,60,4639.85,77.33083333333335
livros_interesse_geral,216,553,46856.88,84.73215189873417
livros_tecnicos,123,267,19096.06,71.52082397003745
malas_acessorios,349,1092,140429.98,128.5988827838828
market_place,104,311,28378.47,91.2490996784566
moveis_colchao_e_estofado,10,38,4368.08,114.94947368421053
moveis_cozinha_area_de_servico_jantar_e_jardim,94,281,46328.37,164.8696441281139
moveis_decoracao,2657,8334,729762.49,87.56449364050876
moveis_escritorio,309,1691,273960.7,162.0110585452395
moveis_quarto,45,109,20028.78,183.75027522935778
moveis_sala,156,503,68916.56,137.0110536779324
musica,27,38,6034.35,158.79868421052632
papelaria,849,2517,230943.23,91.75336909018674
pc_gamer,3,9,1545.95,171.77222222222224
pcs,30,203,222963.13,1098.3405418719212
perfumaria,868,3419,399124.87,116.73731207955542
pet_shop,719,1947,214315.41,110.0746841294299
portateis_casa_forno_e_cafe,31,76,47445.71,624.2856578947368
portateis_cozinha_e_preparadores_de_alimentos,10,15,3968.53,264.5686666666667
relogios_presentes,1329,5991,1205005.68,201.13598397596394
seguros_e_servicos,2,2,283.28999999999996,141.64499999999998
sinalizacao_e_seguranca,93,199,21509.23,108.08658291457286
tablets_impressao_imagem,9,83,7528.41,90.70373493975903
telefonia,1134,4545,323667.52999999997,71.21397799779977
telefonia_fixa,116,264,59583.0,225.6931818181818
unknown,610,1603,179535.28,111.99955084217093
utilidades_domesticas,2335,6964,632248.66,90.78814761631247
