purchase_month_start,total_orders,total_revenue,total_items_sold,average_order_value,average_delivery_days,average_review_score,late_orders,cancelled_orders,revenue_growth,order_growth
2016-09-01,4,354.75,6.0,118.25,42.31871527777778,1.0,1,2,0.0,0.0
2016-10-01,324,56808.84,363.0,184.4442857142857,25.22837373542524,3.561128526645768,3,24,159.13767441860463,80.0
2016-12-01,1,19.62,1.0,19.62,4.693020833333334,5.0,0,0,-0.999654631215846,-0.9969135802469136
2017-01-01,800,137188.49,955.0,173.87641318124207,14.415607060185184,4.062658227848101,23,3,6991.277777777777,799.0
2017-02-01,1780,286280.62,1951.0,165.1936641661858,14.665599361475238,4.015837104072398,53,17,1.0867685036842376,1.225
2017-03-01,2682,432048.59,3000.0,163.59280196895116,13.768862003549037,4.074596016535137,142,33,0.5091786164218872,0.5067415730337079
2017-04-01,2404,412422.24,2684.0,172.48943538268506,15.492494241850004,4.046082949308755,181,18,-0.045426256338436444,-0.1036539895600298
2017-05-01,3700,586190.95,4136.0,160.16146174863385,11.900256093593594,4.142116748499728,128,29,0.42133690462473594,0.5391014975041597
2017-06-01,3245,502963.04,3583.0,156.34536524712465,12.448300583518803,4.147762585456806,121,16,-0.14198088523884578,-0.12297297297297294
2017-07-01,4026,584971.62,4519.0,147.38513983371126,12.041476493647771,4.175396825396825,133,28,0.16305090727938976,0.2406779661016949
2017-08-01,4331,668204.6,4910.0,155.64980200326113,11.548022848307207,4.237436016751977,139,27,0.142285500961568,0.07575757575757569
2017-09-01,4285,720398.91,4831.0,169.7852722130568,12.202182875772506,4.187838155728064,216,20,0.07811127011098096,-0.01062110367120761
2017-10-01,4631,769312.37,5322.0,168.41339098073556,12.205092542607389,4.124537339429566,237,26,0.06789774293245388,0.08074679113185534
2017-11-01,7544,1179143.77,8665.0,158.25308951818548,15.36666614963817,3.9108288770053474,1043,37,0.5327243080726753,0.6290218095443749
2017-12-01,5673,863547.23,6308.0,153.5468047652916,15.737720231799752,4.018888096935139,462,11,-0.26764890595147706,-0.24801166489925763
2018-01-01,7269,1107301.89,8208.0,153.36591274238225,14.43620603316723,4.041799750034717,464,34,0.28227137038005434,0.28133262823902694
2018-02-01,6728,986908.96,7672.0,147.4318733193905,17.124802822711608,3.8273131494804153,1049,73,-0.10872638355200492,-0.07442564314211031
2018-03-01,7211,1155126.82,8217.0,160.70211741791877,16.512954099832047,3.7535674314493566,1496,26,0.17044921752458309,0.07178953626634965
2018-04-01,6939,1159698.04,7975.0,167.2480588404961,11.753066397388887,4.162501816068575,361,15,0.003957331715317647,-0.037720149771182876
2018-05-01,6873,1149781.82,7925.0,167.7778812199037,11.586512098132252,4.194034215528586,556,24,-0.008550691350655337,-0.009511456982274069
2018-06-01,6167,1022677.11,7078.0,166.01901136363637,9.425294426652613,4.2774792379091355,83,18,-0.11054680791526172,-0.10272079150298263
2018-07-01,6292,1058728.03,7092.0,168.77539135979595,9.169332618139437,4.263246358251961,276,41,0.03525151746087296,0.020269174639208742
2018-08-01,6512,1003308.47,7248.0,155.50348264104153,7.880767854146761,4.256206630686199,660,84,-0.05234541679226157,0.034965034965035
2018-09-01,16,166.46,1.0,166.46,15.285339265046296,1.8,0,15,-0.9998340889118578,-0.9975429975429976
2018-10-01,4,0.0,0.0,0.0,17.997922453703705,2.25,0,4,-1.0,-0.75
