sales_month,total_orders,total_order_value,average_order_value,total_product_value,total_freight_value
2016-09-01,4,354.75,88.6875,267.36,87.39
2016-10-01,324,56808.840000000004,175.33592592592592,49507.66,7301.18
2016-12-01,1,19.62,19.62,10.9,8.72
2017-01-01,800,137188.49,171.4856125,120312.87,16875.62
2017-02-01,1780,286280.62,160.83180898876404,247303.02,38977.6
2017-03-01,2682,432048.59,161.09194258016404,374344.3,57704.29
2017-04-01,2404,412422.24,171.55667221297836,359927.23,52495.01
2017-05-01,3700,586190.95,158.42998648648648,506071.14,80119.81
2017-06-01,3245,502963.04,154.99631432973806,433038.6,69924.44
2017-07-01,4026,584971.62,145.2984649776453,498031.48,86940.14
2017-08-01,4331,668204.6,154.2841376125606,573971.68,94232.92
2017-09-01,4285,720398.91,168.1210991831972,624401.69,95997.22
2017-10-01,4631,769312.37,166.1222997192831,664219.43,105092.94
2017-11-01,7544,1179143.77,156.30219644750795,1010271.37,168872.4
2017-12-01,5673,863547.23,152.2205587872378,743914.17,119633.06
2018-01-01,7269,1107301.89,152.33208006603385,950030.36,157271.53
2018-02-01,6728,986908.96,146.68682520808562,844178.71,142730.25
2018-03-01,7211,1155126.82,160.18954652614062,983213.44,171913.38
2018-04-01,6939,1159698.04,167.1275457558726,996647.75,163050.29
2018-05-01,6873,1149781.82,167.28965808235122,996517.68,153264.14
2018-06-01,6167,1022677.11,165.8305675368899,865124.31,157552.8
2018-07-01,6292,1058728.03,168.2657390336936,895507.22,163220.81
2018-08-01,6512,1003308.47,154.070710995086,854686.33,148622.14
2018-09-01,16,166.46,10.40375,145.0,21.46
2018-10-01,4,0.0,0.0,0.0,0.0
