table,optimization,status
fact_customer_features,ANALYZE completed,success
fact_customer_segmentation,ANALYZE completed,success
fact_customer_lifetime_value,ANALYZE completed,success
fact_order_features,ANALYZE completed,success
fact_product_features,ANALYZE completed,success
fact_seller_features,ANALYZE completed,success
fact_historical_sales_forecast,ANALYZE completed,success
fact_customers,ANALYZE completed,success
fact_geolocation,ANALYZE completed,success
fact_order_items,ANALYZE completed,success
fact_order_payments,ANALYZE completed,success
fact_order_reviews,ANALYZE completed,success
fact_orders,ANALYZE completed,success
fact_products,ANALYZE completed,success
fact_sellers,ANALYZE completed,success
fact_customer_churn_predictions,ANALYZE completed,success
fact_product_recommendations,ANALYZE completed,success
fact_powerbi_product_recommendations,ANALYZE completed,success
dim_business_kpis,ANALYZE completed,success
dim_business_insights,ANALYZE completed,success
dim_business_opportunities,ANALYZE completed,success
dim_powerbi_business_kpis,ANALYZE completed,success
dim_powerbi_business_insights,ANALYZE completed,success
dim_customer_segmentation_model_evaluation,ANALYZE completed,success
dim_clv_validation,ANALYZE completed,success
dim_recommendation_data_quality,ANALYZE completed,success
dim_calendar,ANALYZE completed,success
dashboard_kpi_metrics,ANALYZE completed,success
dashboard_summary,ANALYZE completed,success
dashboard_drillthrough_configuration,ANALYZE completed,success
dashboard_metadata,ANALYZE completed,success
dashboard_data_dictionary,ANALYZE completed,success
powerbi_relationship_configuration,ANALYZE completed,success
